id,observed_on,time_observed_at,quality_grade,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name
5997,19/2/06,,research,"Hindhede Quarry Nature Park, Singapore",1.348061204,103.7757416,,,,open,FALSE,,,Many-lined Sun-skink,Eutropis multifasciata,Common Sun Skink,Reptilia,38008,Squamata,Scincidae
19024,10/3/06,2006-03-11 03:43:00 UTC,research,,1.572862243,103.6186061,,31446,,obscured,TRUE,,,Stachelrandschildkrote,Heosemys spinosa,Spiny Terrapin,Reptilia,40005,Testudines,Geoemydidae
22509,9/3/11,,research,Venus Drive,1.359653636,103.8268304,,,,open,FALSE,,,four-ridged toad,Ingerophrynus quadriporcatus,four-ridged toad,Amphibia,65872,Anura,Bufonidae
23096,24/6/11,,research,Singapore Mandai,1.408803105,103.7782288,,,,,FALSE,,,Arcuate-spotted Pygmy Frog,Microhyla heymonsi,Dark-sided Chorus Frog,Amphibia,24826,Anura,Microhylidae
23106,6/1/11,,research,"Central Catchment Area, Singapore",1.359379055,103.8262081,,,,,FALSE,,,Leptobrachium nigrops,Leptobrachium nigrops,Black-eyed Litter Frog,Amphibia,24710,Anura,Megophryidae
77570,6/12/09,,research,"Singapore zoological gardens, public area.",1.352083,103.819836,32232,32232,,,FALSE,,,Green crested lizard,Bronchocela cristatella,Green Crested Lizard,Reptilia,31302,Squamata,Agamidae
255767,27/4/13,2013-04-27 14:45:29 UTC,research,"Tanglin Halt, Central Singapore, Singapore",1.312,103.815827,,,,,FALSE,,,Plantain Squirrel (Callosciurus notatus),Callosciurus notatus,Plantain Squirrel,Mammalia,45945,Rodentia,Sciuridae
268807,10/2/13,,research,,1.281778853,103.9248344,2169,31447,obscured,,TRUE,,,Banded Sea Krait,Laticauda colubrina,Banded Sea Krait,Reptilia,68343,Squamata,Elapidae
315344,11/7/12,,research,Singapore Zoo,1.404741,103.791145,50,50,,open,FALSE,,,Eutropis multifasciata,Eutropis multifasciata,Common Sun Skink,Reptilia,38008,Squamata,Scincidae
329754,11/7/13,2013-07-11 08:30:00 UTC,research,Bukit Timah Nature Preserve,1.348449,103.776757,2169,2169,,open,FALSE,,google,Rotwangenschmuckschildkröte,Trachemys scripta elegans,Red-eared Slider,Reptilia,51271,Testudines,Emydidae
