longitude,latitude,presence,geometry
103.826358,1.377105,1,POINT (103.826358 1.377105)
103.823075,1.370015,1,POINT (103.823075 1.370015)
103.8252199,1.376040853,1,POINT (103.8252199 1.376040853)
103.82428,1.374421667,1,POINT (103.82428 1.374421667)
103.7767688,1.379874244,1,POINT (103.7767688 1.379874244)
103.8258091,1.376127865,1,POINT (103.8258091 1.376127865)
103.825832,1.374330962,1,POINT (103.825832 1.374330962)
103.8245225,1.376503755,1,POINT (103.8245225 1.376503755)
103.8240991,1.375858369,1,POINT (103.8240991 1.375858369)
103.8248736,1.375046643,1,POINT (103.8248736 1.375046643)
103.8275295,1.378625845,1,POINT (103.8275295 1.378625845)
103.8259485,1.374092366,1,POINT (103.8259485 1.374092366)
103.824028,1.383640647,1,POINT (103.824028 1.383640647)
103.8052797,1.353911089,1,POINT (103.8052797 1.353911089)
103.7784576,1.407067765,1,POINT (103.7784576 1.407067765)
103.7784576,1.407067765,1,POINT (103.7784576 1.407067765)
103.819836,1.352083,1,POINT (103.819836 1.352083)
103.8257794,1.37603665,1,POINT (103.8257794 1.37603665)
103.8070357,1.40088546,1,POINT (103.8070357 1.40088546)
103.8081336,1.399670374,1,POINT (103.8081336 1.399670374)
103.8081336,1.399670374,1,POINT (103.8081336 1.399670374)
103.8081336,1.399670374,1,POINT (103.8081336 1.399670374)
103.819836,1.352083,1,POINT (103.819836 1.352083)
103.7795557,1.373661761,1,POINT (103.7795557 1.373661761)
103.8328199,1.348891932,1,POINT (103.8328199 1.348891932)
103.8240817,1.372759135,1,POINT (103.8240817 1.372759135)
103.8246294,1.374750155,1,POINT (103.8246294 1.374750155)
103.8254517,1.373969068,1,POINT (103.8254517 1.373969068)
103.7801061,1.373276294,1,POINT (103.7801061 1.373276294)
103.8333255,1.348956093,1,POINT (103.8333255 1.348956093)
103.7785685,1.405925188,1,POINT (103.7785685 1.405925188)
103.777645,1.379528439,1,POINT (103.777645 1.379528439)
103.77678,1.38507,1,POINT (103.77678 1.38507)
103.8256182,1.374395297,1,POINT (103.8256182 1.374395297)
103.7782546,1.408790852,1,POINT (103.7782546 1.408790852)
103.8247309,1.375507814,1,POINT (103.8247309 1.375507814)
103.780853,1.371347972,1,POINT (103.780853 1.371347972)
103.8242898,1.348728324,1,POINT (103.8242898 1.348728324)
103.8241046,1.42600743,1,POINT (103.8241046 1.42600743)
103.7795373,1.371238293,1,POINT (103.7795373 1.371238293)
103.7798467,1.374005,1,POINT (103.7798467 1.374005)
103.8081336,1.399670374,1,POINT (103.8081336 1.399670374)
103.7795375,1.3712384,1,POINT (103.7795375 1.3712384)
103.8250404,1.373986364,1,POINT (103.8250404 1.373986364)
103.8222696,1.381492369,1,POINT (103.8222696 1.381492369)
103.7783518,1.407501885,1,POINT (103.7783518 1.407501885)
103.7800341,1.372399539,1,POINT (103.7800341 1.372399539)
103.8216386,1.383611435,1,POINT (103.8216386 1.383611435)
103.7812084,1.371530424,1,POINT (103.7812084 1.371530424)
103.779919,1.374327,1,POINT (103.779919 1.374327)
103.807041,1.400883114,1,POINT (103.807041 1.400883114)
103.8252905,1.373618802,1,POINT (103.8252905 1.373618802)
103.8230753,1.370015221,1,POINT (103.8230753 1.370015221)
103.8251537,1.375470655,1,POINT (103.8251537 1.375470655)
103.779661,1.370464,1,POINT (103.779661 1.370464)
103.8261033,1.376025,1,POINT (103.8261033 1.376025)
103.797202,1.355153,1,POINT (103.797202 1.355153)
103.781412,1.369949,1,POINT (103.781412 1.369949)
103.7813417,1.37218,1,POINT (103.7813417 1.37218)
103.8264972,1.37244323,1,POINT (103.8264972 1.37244323)
