order,family,scientific_name,common_name,rdb2_status,rdb3_status
Gymnophiona,Icthyophiidae,Icthyophis sp.,Asian Striped Caecilian,CR,CR
Anura,Bufonidae,Ingerophrynus quadriporcatus,Four-ridged Toad,Not Listed,VU
Anura,Bufonidae,Pelophryne ingeri,Inger's Cross Toadlet,CR,CR
Anura,Megophryidae,Megophrys nasuta,Malayan Horned Frog,EN,CR
Anura,Dicroglossidae,Limnonectes paramacrodon,Lesser Swamp Frog,EN,CR
Anura,Dicroglossidae,Limnonectes plicatellus,Rhinoceros Frog,EN,CR
Anura,Ranidae,Pulchrana baramica,Golden-eared Rough-sided Frog,VU,VU
Anura,Rhacophoridae,Nyctixalus pictus,Cinnamon Bush Frog,VU,VU
Anura,Rhacophoridae,Rhacophorus cyanopunctatus,Blue-legged Bush Frog,CR,CR
Anura,Rhacophoridae,Theloderma horridum,Thorny Bush Frog,CR,CR
Anura,Microhylidae,Kalophrynus limbooliati,Limbooliat's Sticky Frog,VU,VU
Anura,Microhylidae,Microhyla mantheyi,Manthey's Chorus Frog,CR,VU
Pholidota,Manidae,Manis javanica,Sunda Pangolin,CR,CR
Rodentia,Sciuridae,Hylopetes spadiceus,Red-cheeked Flying Squirrel,CR,CR
Rodentia,Sciuridae,Iomys horsfieldii,Horsfield’s Flying Squirrel,Not Listed,EN
Rodentia,Sciuridae,Petaurista petaurista,Red Giant Flying Squirrel,CR,CR
Rodentia,Sciuridae,Rhinosciurus laticaudatus,Shrew-faced Ground Squirrel,CR,CR
Rodentia,Muridae,Maxomys rajah,Brown Spiny Rat,EN,EN
Rodentia,Hystricidae,Hystrix brachyura,Malayan Porcupine,CR,CR
Carnivora,Felidae,Prionailurus bengalensis,Leopard Cat,CR,CR
Carnivora,Viverridae,Arctogalidia trivirgata,Small-toothed Palm Civet,CR,CR
Carnivora,Viverridae,Paguma larvata,Masked Palm Civet,CR,CR
Carnivora,Viverridae,Viverra tangalunga,Malay Civet,Not Listed,CR
Carnivora,Viverridae,Viverra zibetha,Large Indian Civet,CR,CR
Carnivora,Mustelidae,Aonyx cinereus,Oriental Small-clawed Otter,CR,CR
Carnivora,Mustelidae,Lutrogale perspicillata,Smooth Otter,CR,EN
Artiodactyla,Tragulidae,Tragulus kanchil,Lesser Mousedeer,CR,EN
Artiodactyla,Tragulidae,Tragulus napu,Greater Mousedeer,Not Listed,CR
Artiodactyla,Cervidae,Muntiacus muntjak,Red Muntjac,Not Listed,CR
Primates,Lorisidae,Nycticebus coucang,Sunda Slow Loris,CR,EN
Primates,Cercopithecidae,Presbytis femoralis,Raffles’ Banded Langur,CR,CR
Chiroptera,Pteropodidae,Eonycteris spelaea,Cave Nectar Bat,Not Listed,VU
Chiroptera,Pteropodidae,Macroglossus minimus,Lesser Long-tongued Nectar Bat,VU,VU
Chiroptera,Pteropodidae,Penthetor lucasi,Dusky Fruit Bat,EN,CR
Chiroptera,Pteropodidae,Pteropus vampyrus,Large Flying-Fox,Not Listed,CR
Chiroptera,Rhinolophidae,Rhinolophus morio,Greater Woolly Horseshoe Bat,CR,CR
Chiroptera,Rhinolophidae,Rhinolophus stheno,Lesser Brown Horseshoe Bat,Not Listed,CR
Chiroptera,Rhinolophidae,Rhinolophus trifoliatus,Trefoil Horseshoe Bat,CR,EN
Chiroptera,Hipposideridae,Hipposideros bicolor,Bicoloured Roundleaf Bat,Not Listed,EN
Chiroptera,Hipposideridae,Hipposideros cervinus,Fawn Roundleaf Bat,Not Listed,CR
Chiroptera,Hipposideridae,Hipposideros cineraceus,Ashy Roundleaf Bat,Not Listed,CR
Chiroptera,Hipposideridae,Hipposideros ridleyi,Ridley’s Roundleaf Bat,Not Listed,CR
Chiroptera,Megadermatidae,Megaderma spasma,Lesser False-Vampire,CR,EN
Chiroptera,Emballonuridae,Emballonura monticola,Lesser Sheath-tailed Bat,CR,CR
Chiroptera,Emballonuridae,Taphozous longimanus,Long-winged Tomb Bat,Not Listed,CR
Chiroptera,Nycteridae,Nycteris tragata,Malayan Slit-faced Bat,CR,CR
Chiroptera,Molossidae,Cheiromeles torquatus,Naked Bat,CR,CR
Chiroptera,Vespertilionidae,Hypsugo macrotis,Big-eared Pipistrelle,Not Listed,CR
Chiroptera,Vespertilionidae,Kerivoula hardwickii,Hardwicke’s Woolly Bat,Not Listed,CR
Chiroptera,Vespertilionidae,Murina suilla,Lesser Tube-nosed Bat,CR,CR
Chiroptera,Vespertilionidae,Tylonycteris fulvida,Lesser Bamboo Bat,CR,VU
Chiroptera,Vespertilionidae,Tylonycteris malayana,Greater Bamboo Bat,Not Listed,VU
Cetacea,Delphinidae,Orcaella brevirostris,Irrawaddy Dolphin,Not Listed,CR
Testudines,Trionychidae,Amyda cartilaginea,Asian Softshell,EN,VU
Testudines,Geoemydidae,Cyclemys dentata,Asian Leaf Turtle,CR,CR
Testudines,Trionychidae,Dogania suplana,Malayan Softshell Turtle,CR,CR
Testudines,Geoemydidae,Heosemys spinosa,Spiny Hill Turtle,VU,EN
Testudines,Geoemydidae,Notochelys platynota,Malayan Flatshell Turtle,EN,CR
Testudines,Cheloniidae,Eretmochelys imbricata,Hawksbill Turtle,CR,CR
